GTS_TRAINING_OFFER_ID,GTS_TRAINING_OFFER_POSTED_BY_ID,GTS_TRAINING_ID,GTS_TRAINER_ID,GTS_TRAINING_OFFER_STATUS,GTS_TRAINING_OFFER_START_DATE,GTS_TRAINING_OFFER_END_DATE,GTS_TRAINING_OFFER_TYPE,GTS_TRAINING_OFFER_MEDIUM,GTS_TRAINING_CENTER_ID,GTS_TRAINER_COUNTRY_CODE,GTS_TRAINER_CONTACT_NUMBER,GTS_TRAINING_OFFER_PREREQUISITE,GTS_TRAINING_VIDEO_ID
225,807,398,448,TRUE,3/18/2020,5/17/2020,Self-paced,Online,25,178,7365343858,No prerequisites required,854
226,248,738,661,TRUE,4/16/2020,6/15/2020,Self-paced,Online,68,90,7445588114,Interest in cybersecurity,406
227,884,918,376,TRUE,2/22/2020,4/22/2020,Self-paced,Offline,73,173,7659474755,Comfortable with remote collaboration tools,452
228,637,769,780,FALSE,3/19/2020,5/18/2020,Full-time,Offline,91,92,7730942667,Portfolio of design projects (for UI/UX),437
229,375,693,276,TRUE,6/18/2020,8/17/2020,Full-time,Hybrid,93,31,7356034984,Familiarity with cloud tools,463
230,245,400,244,FALSE,02-04-2020,04-04-2020,Full-time,Hybrid,76,245,6390224698,CSS,400
231,549,751,320,FALSE,3/17/2020,5/16/2020,Full-time,Hybrid,68,116,9695474611,Comfortable with remote collaboration tools,268
232,418,409,175,TRUE,5/24/2020,7/23/2020,Full-time,Offline,74,18,7027755133,Comfortable with remote collaboration tools,349
233,967,502,191,FALSE,03-04-2020,05-03-2020,Part-time,Online,62,3,6854645345,Understanding of data structures and algorithms,970
234,967,643,59,FALSE,1/27/2020,3/27/2020,Self-paced,Hybrid,49,17,6738428030,Portfolio of design projects (for UI/UX),441
235,446,8,766,TRUE,04-05-2020,06-04-2020,Full-time,Offline,61,186,9189397892,Bachelor's degree in a relevant field,187
236,419,187,484,TRUE,6/27/2020,8/26/2020,Full-time,Hybrid,33,184,8416449692,Basic programming knowledge,654
237,630,218,589,FALSE,1/15/2020,3/15/2020,Self-paced,Offline,57,12,8280671061,Comfortable with remote collaboration tools,437
238,823,337,2,FALSE,01-07-2020,03-07-2020,Full-time,Online,58,142,7740489684,Understanding of data structures and algorithms,311
239,687,721,633,TRUE,2/27/2020,4/27/2020,Self-paced,Online,91,230,7981074132,Familiarity with Agile or Scrum methodologies,254
240,282,259,112,TRUE,03-05-2020,05-04-2020,Self-paced,Online,91,138,7012153507,Willingness to learn new technologies,537
241,447,14,750,TRUE,3/28/2020,5/27/2020,Full-time,Online,41,223,6647152874,Experience in project coordination,677
242,750,898,904,TRUE,6/28/2020,8/27/2020,Part-time,Hybrid,51,220,6622013225,Passion for tech and innovation,272
243,879,670,97,FALSE,02-02-2020,04-02-2020,Self-paced,Hybrid,81,226,9286302668,Basic understanding of machine learning concepts,95
244,942,949,354,TRUE,2/24/2020,4/24/2020,Part-time,Offline,59,19,9529825965,Understanding of data structures and algorithms,305
245,825,719,962,FALSE,05-04-2020,07-03-2020,Part-time,Online,15,138,8686730995,Prior experience with Excel or spreadsheets,293
246,940,534,257,TRUE,5/23/2020,7/22/2020,Part-time,Offline,99,227,9001445994,Exposure to databases and SQL,806
247,50,979,665,FALSE,06-04-2020,08-03-2020,Full-time,Hybrid,68,110,7469850096,Bachelor's degree in a relevant field,911
248,758,343,417,FALSE,1/24/2020,3/24/2020,Full-time,Online,12,194,7345056142,Understanding of data structures and algorithms,450
249,862,277,234,TRUE,03-09-2020,05-08-2020,Self-paced,Hybrid,27,119,7308826089,CSS,907
250,957,734,666,FALSE,1/20/2020,3/20/2020,Part-time,Online,87,24,8762322153,Portfolio of design projects (for UI/UX),185
251,227,375,711,FALSE,2/28/2020,4/28/2020,Self-paced,Online,65,175,7748968780,Experience in project coordination,36
252,495,436,102,FALSE,2/19/2020,4/19/2020,Part-time,Online,6,245,8443188584,No prerequisites required,326
253,683,582,390,TRUE,3/24/2020,5/23/2020,Self-paced,Hybrid,9,246,7808208314,Awareness of marketing strategies,688
254,471,407,373,TRUE,02-03-2020,04-03-2020,Part-time,Offline,16,46,9392149263,Previous coursework in networking fundamentals,217
255,549,161,678,TRUE,6/18/2020,8/17/2020,Full-time,Offline,3,26,6857867580,Bachelor's degree in a relevant field,267
256,899,537,759,TRUE,6/19/2020,8/18/2020,Part-time,Hybrid,78,228,7483737037,Strong communication skills,768
257,401,679,632,FALSE,01-08-2020,03-08-2020,Full-time,Hybrid,71,97,8793456466,Completion of Intro to Python course,213
258,892,71,301,TRUE,2/28/2020,4/28/2020,Part-time,Offline,74,166,8384444085,Prior experience with Excel or spreadsheets,919
259,554,505,844,TRUE,5/17/2020,7/16/2020,Full-time,Offline,92,234,8237559403,Strong communication skills,273
260,401,287,267,FALSE,01-02-2020,03-02-2020,Full-time,Online,29,185,7680613352,Willingness to learn new technologies,495
261,950,649,466,TRUE,03-02-2020,05-01-2020,Full-time,Offline,64,29,6019019037,Exposure to databases and SQL,574
262,519,198,204,FALSE,2/19/2020,4/19/2020,Part-time,Offline,80,103,6740788693,Familiarity with cloud tools,816
263,976,935,474,TRUE,5/27/2020,7/26/2020,Full-time,Hybrid,16,151,6861968822,Basic programming knowledge,892
264,438,97,846,TRUE,01-09-2020,03-09-2020,Part-time,Online,3,220,6426692969,Familiarity with cloud tools,417
265,358,560,162,TRUE,04-09-2020,06-08-2020,Part-time,Hybrid,4,187,9611616414,Basic understanding of machine learning concepts,492
266,704,576,735,FALSE,4/13/2020,06-12-2020,Self-paced,Hybrid,69,233,8165987374,Bachelor's degree in a relevant field,767
267,234,810,225,TRUE,1/26/2020,3/26/2020,Full-time,Hybrid,89,199,9251249131,Completion of Intro to Python course,686
268,657,113,803,TRUE,5/16/2020,7/15/2020,Self-paced,Offline,42,187,6275191636,Understanding of data structures and algorithms,666
269,619,879,779,FALSE,04-09-2020,06-08-2020,Self-paced,Online,56,107,6252402127,Familiarity with cloud tools,567
270,796,720,67,FALSE,6/14/2020,8/13/2020,Self-paced,Online,76,178,6171903535,Familiarity with Agile or Scrum methodologies,973
271,835,529,144,FALSE,2/19/2020,4/19/2020,Full-time,Hybrid,96,144,9502028734,Interest in cybersecurity,198
272,52,506,414,FALSE,3/20/2020,5/19/2020,Full-time,Hybrid,44,234,7842016110,Willingness to learn new technologies,400
273,632,3,260,TRUE,6/26/2020,8/25/2020,Self-paced,Online,22,201,8729429011,Willingness to learn new technologies,677
274,492,898,429,FALSE,1/30/2020,3/30/2020,Part-time,Online,7,75,7398437827,Comfortable with remote collaboration tools,240
275,878,426,132,TRUE,3/29/2020,5/28/2020,Self-paced,Online,43,111,8365764352,Passion for tech and innovation,394
276,619,69,376,TRUE,2/18/2020,4/18/2020,Self-paced,Offline,91,88,6486822888,Strong communication skills,686
277,633,353,216,TRUE,02-11-2020,04-11-2020,Self-paced,Hybrid,60,122,8949841481,Familiarity with Agile or Scrum methodologies,326
278,10,600,712,TRUE,5/14/2020,7/13/2020,Self-paced,Online,34,54,6852543695,Comfortable with remote collaboration tools,912
279,186,586,594,TRUE,1/23/2020,3/23/2020,Full-time,Offline,57,162,8775412318,Awareness of marketing strategies,127
280,388,727,188,TRUE,03-02-2020,05-01-2020,Full-time,Hybrid,38,3,6171232599,Familiarity with Agile or Scrum methodologies,210
281,789,582,22,TRUE,5/24/2020,7/23/2020,Part-time,Online,78,83,6869106548,CSS,964
282,483,982,28,TRUE,6/27/2020,8/26/2020,Part-time,Online,89,104,9985241639,Portfolio of design projects (for UI/UX),701
283,725,691,760,TRUE,2/28/2020,4/28/2020,Self-paced,Online,29,204,6281970742,Interest in cybersecurity,845
284,177,166,387,FALSE,05-07-2020,07-06-2020,Part-time,Online,43,223,6966947095,Prior experience with Excel or spreadsheets,584
285,761,634,798,TRUE,2/21/2020,4/21/2020,Self-paced,Hybrid,100,116,9219224455,No prerequisites required,456
286,744,298,645,TRUE,06-01-2020,7/31/2020,Self-paced,Online,65,84,7702620662,Familiarity with Agile or Scrum methodologies,518
287,450,785,741,TRUE,03-01-2020,4/30/2020,Self-paced,Online,63,20,6068044235,Prior experience with Excel or spreadsheets,388
288,877,359,624,TRUE,3/24/2020,5/23/2020,Full-time,Hybrid,47,168,9994630282,Previous coursework in networking fundamentals,688
289,905,141,241,TRUE,6/24/2020,8/23/2020,Part-time,Online,33,201,6748603616,Familiarity with cloud tools,833
290,286,952,515,FALSE,03-02-2020,05-01-2020,Self-paced,Online,19,7,8328383291,Comfortable with remote collaboration tools,215
291,526,981,670,TRUE,06-04-2020,08-03-2020,Part-time,Offline,60,147,6959264699,Prior experience with Excel or spreadsheets,401
292,994,650,177,FALSE,3/14/2020,5/13/2020,Self-paced,Offline,41,246,9968076563,Basic understanding of machine learning concepts,514
293,895,427,785,FALSE,4/16/2020,6/15/2020,Full-time,Hybrid,96,247,8678226256,No prerequisites required,231
294,570,513,402,TRUE,05-04-2020,07-03-2020,Part-time,Offline,1,136,6942075434,Interest in cybersecurity,250
295,917,78,205,FALSE,06-11-2020,08-10-2020,Part-time,Offline,94,76,6507009940,and JavaScript,854
296,824,450,385,TRUE,02-03-2020,04-03-2020,Full-time,Hybrid,100,180,8133304407,Comfortable with remote collaboration tools,175
297,4,994,163,TRUE,01-02-2020,03-02-2020,Full-time,Offline,30,179,9074792097,and JavaScript,247
298,234,434,873,TRUE,4/26/2020,6/25/2020,Self-paced,Hybrid,73,153,8903168690,CSS,395
299,220,780,134,FALSE,6/13/2020,08-12-2020,Self-paced,Offline,31,122,8964786667,Strong communication skills,114
300,759,223,110,TRUE,01-01-2020,03-01-2020,Part-time,Online,39,155,7348639669,Willingness to learn new technologies,976
301,558,144,264,TRUE,3/24/2020,5/23/2020,Part-time,Hybrid,97,2,6116772577,Experience in project coordination,929
302,50,594,505,TRUE,3/22/2020,5/21/2020,Self-paced,Offline,81,186,7610589629,Passion for tech and innovation,286
303,139,586,488,FALSE,6/14/2020,8/13/2020,Self-paced,Offline,49,26,7003959434,Familiarity with Agile or Scrum methodologies,412
304,369,21,130,FALSE,1/27/2020,3/27/2020,Part-time,Offline,68,88,6141517360,Exposure to databases and SQL,947
305,355,283,835,TRUE,6/29/2020,8/28/2020,Part-time,Offline,23,17,7174930835,Knowledge of HTML,706
306,239,876,817,FALSE,4/24/2020,6/23/2020,Self-paced,Hybrid,59,37,7102576721,Basic programming knowledge,702
307,911,484,490,FALSE,03-10-2020,05-09-2020,Part-time,Hybrid,36,183,6893602030,Portfolio of design projects (for UI/UX),571
308,807,408,376,FALSE,5/21/2020,7/20/2020,Part-time,Online,83,162,8395953632,and JavaScript,145
309,360,678,396,TRUE,2/23/2020,4/23/2020,Full-time,Online,10,242,8603429840,Familiarity with Agile or Scrum methodologies,926
310,460,840,738,FALSE,1/20/2020,3/20/2020,Self-paced,Hybrid,35,80,9992314609,Experience in project coordination,262
311,681,503,779,TRUE,4/30/2020,6/29/2020,Self-paced,Offline,88,15,9708750531,Interest in cybersecurity,802
312,823,782,385,FALSE,2/15/2020,4/15/2020,Self-paced,Online,25,230,6999588876,Understanding of data structures and algorithms,622
313,524,326,719,TRUE,1/23/2020,3/23/2020,Self-paced,Offline,20,81,6042965829,Portfolio of design projects (for UI/UX),287
314,3,518,427,TRUE,3/28/2020,5/27/2020,Full-time,Hybrid,69,243,7378103615,Basic understanding of machine learning concepts,316
315,27,566,797,TRUE,02-11-2020,04-11-2020,Full-time,Offline,39,158,6562108395,Completion of Intro to Python course,378
316,152,388,140,FALSE,5/14/2020,7/13/2020,Self-paced,Hybrid,79,210,6759093931,Interest in cybersecurity,523
317,695,53,259,FALSE,4/20/2020,6/19/2020,Part-time,Hybrid,45,34,6550393201,Basic programming knowledge,572
318,10,790,714,FALSE,05-10-2020,07-09-2020,Self-paced,Hybrid,94,207,6584838483,Strong communication skills,456
319,207,803,657,FALSE,03-09-2020,05-08-2020,Full-time,Offline,85,194,7949262757,Basic understanding of machine learning concepts,941
320,853,259,448,FALSE,01-09-2020,03-09-2020,Self-paced,Offline,85,39,6218626060,Prior experience with Excel or spreadsheets,862
321,954,874,199,TRUE,6/15/2020,8/14/2020,Full-time,Online,37,180,7708724086,Bachelor's degree in a relevant field,907
322,741,830,509,TRUE,2/25/2020,4/25/2020,Full-time,Offline,88,38,7614145172,Understanding of data structures and algorithms,5
323,865,701,868,TRUE,04-02-2020,06-01-2020,Part-time,Online,36,15,7362814122,Knowledge of HTML,798
324,896,806,254,FALSE,5/21/2020,7/20/2020,Full-time,Online,70,26,6404617979,Experience in project coordination,788
325,598,897,384,TRUE,05-03-2020,07-02-2020,Part-time,Online,62,93,6158119535,No prerequisites required,145
326,614,225,972,TRUE,1/18/2020,3/18/2020,Part-time,Online,32,83,9919766926,Comfortable with remote collaboration tools,248
327,964,800,897,TRUE,4/21/2020,6/20/2020,Self-paced,Online,81,95,6322216245,Familiarity with cloud tools,800
328,378,513,377,FALSE,3/15/2020,5/14/2020,Part-time,Online,78,147,8796470365,Passion for tech and innovation,481
329,111,818,665,FALSE,02-02-2020,04-02-2020,Self-paced,Offline,66,232,7909385771,Portfolio of design projects (for UI/UX),31
330,490,455,722,FALSE,1/29/2020,3/29/2020,Part-time,Offline,86,215,6377446581,Familiarity with cloud tools,414
331,532,12,56,TRUE,3/26/2020,5/25/2020,Part-time,Offline,84,47,8764868731,Willingness to learn new technologies,302
332,476,901,69,TRUE,2/23/2020,4/23/2020,Self-paced,Hybrid,25,96,6053850589,Strong communication skills,917
333,611,819,452,FALSE,1/18/2020,3/18/2020,Self-paced,Offline,28,9,9366289615,and JavaScript,255
334,114,830,791,FALSE,3/30/2020,5/29/2020,Part-time,Online,16,6,6295220911,Previous coursework in networking fundamentals,989
335,380,407,9,FALSE,02-11-2020,04-11-2020,Self-paced,Online,41,176,9494387136,and JavaScript,341
336,990,417,323,TRUE,3/15/2020,5/14/2020,Part-time,Online,87,48,6003022933,Passion for tech and innovation,97
337,678,153,8,TRUE,1/16/2020,3/16/2020,Full-time,Hybrid,44,148,9580428154,Basic understanding of machine learning concepts,355
338,253,275,974,FALSE,4/26/2020,6/25/2020,Self-paced,Offline,16,154,7711620148,No prerequisites required,46
339,850,942,992,FALSE,4/18/2020,6/17/2020,Self-paced,Online,4,76,8595695423,CSS,344
340,778,22,716,TRUE,06-11-2020,08-10-2020,Part-time,Hybrid,34,60,9119320642,Awareness of marketing strategies,242
341,581,9,344,FALSE,2/18/2020,4/18/2020,Part-time,Online,1,25,9821939537,Previous coursework in networking fundamentals,651
342,342,135,789,TRUE,2/29/2020,4/29/2020,Full-time,Online,38,89,6253042023,Passion for tech and innovation,527
343,755,161,810,TRUE,3/15/2020,5/14/2020,Full-time,Offline,78,209,8453386739,No prerequisites required,389
344,506,26,409,FALSE,02-02-2020,04-02-2020,Full-time,Hybrid,41,179,8115532662,Passion for tech and innovation,639
345,159,988,403,TRUE,05-05-2020,07-04-2020,Self-paced,Hybrid,55,241,7956261082,Bachelor's degree in a relevant field,4
346,310,782,893,FALSE,1/30/2020,3/30/2020,Full-time,Online,66,102,6822503937,Portfolio of design projects (for UI/UX),621
347,511,49,268,TRUE,6/18/2020,8/17/2020,Self-paced,Online,42,96,8671816189,Familiarity with Agile or Scrum methodologies,974
348,38,919,626,TRUE,1/25/2020,3/25/2020,Part-time,Offline,49,19,9864971482,Experience in project coordination,5
349,237,298,22,FALSE,01-02-2020,03-02-2020,Full-time,Online,15,201,8701962780,Interest in cybersecurity,60
350,659,10,321,TRUE,05-04-2020,07-03-2020,Part-time,Hybrid,74,183,9740870457,Basic programming knowledge,231
351,317,146,999,FALSE,2/20/2020,4/20/2020,Part-time,Hybrid,55,220,9805793159,Understanding of data structures and algorithms,292
352,885,436,703,FALSE,1/23/2020,3/23/2020,Self-paced,Hybrid,22,7,9729669586,Familiarity with cloud tools,18
353,784,870,621,FALSE,3/18/2020,5/17/2020,Part-time,Hybrid,19,207,7701179825,and JavaScript,715
354,22,832,262,FALSE,3/20/2020,5/19/2020,Self-paced,Hybrid,12,30,8044244550,Awareness of marketing strategies,859
355,912,170,784,FALSE,6/20/2020,8/19/2020,Part-time,Hybrid,28,238,8724201576,Prior experience with Excel or spreadsheets,864
356,114,391,950,FALSE,01-09-2020,03-09-2020,Full-time,Offline,22,242,6344585223,Portfolio of design projects (for UI/UX),784
357,669,800,432,TRUE,1/28/2020,3/28/2020,Self-paced,Online,47,197,8911452060,and JavaScript,433
358,592,486,313,TRUE,4/14/2020,6/13/2020,Full-time,Offline,20,151,6165202044,Exposure to databases and SQL,443
359,314,795,385,TRUE,06-08-2020,08-07-2020,Self-paced,Offline,36,178,6331189159,Awareness of marketing strategies,352
360,502,553,257,TRUE,05-07-2020,07-06-2020,Self-paced,Offline,40,58,7290262831,Knowledge of HTML,254
361,201,646,954,TRUE,2/25/2020,4/25/2020,Self-paced,Online,63,246,6302666709,CSS,506
362,672,24,919,FALSE,3/28/2020,5/27/2020,Self-paced,Hybrid,57,73,8756420478,Familiarity with Agile or Scrum methodologies,795
363,310,160,84,FALSE,01-06-2020,03-06-2020,Part-time,Hybrid,42,124,6483801680,Portfolio of design projects (for UI/UX),196
364,906,972,540,TRUE,01-12-2020,03-12-2020,Self-paced,Offline,55,229,6217251655,Familiarity with Agile or Scrum methodologies,190
365,151,267,725,TRUE,01-01-2020,03-01-2020,Part-time,Online,9,62,9039398061,Previous coursework in networking fundamentals,134
366,443,97,479,FALSE,4/19/2020,6/18/2020,Self-paced,Offline,42,237,7896819632,Experience in project coordination,276
367,39,328,768,TRUE,06-11-2020,08-10-2020,Full-time,Online,91,118,7336447111,Willingness to learn new technologies,140
368,663,108,608,TRUE,6/24/2020,8/23/2020,Full-time,Hybrid,51,163,9639375640,Basic understanding of machine learning concepts,639
369,814,643,19,FALSE,4/30/2020,6/29/2020,Self-paced,Offline,92,59,9927017755,Basic programming knowledge,436
370,118,789,482,TRUE,4/25/2020,6/24/2020,Part-time,Online,62,68,9670294882,CSS,711
371,592,314,971,TRUE,1/20/2020,3/20/2020,Self-paced,Hybrid,97,11,7975337749,Familiarity with Agile or Scrum methodologies,357
372,441,964,288,FALSE,5/17/2020,7/16/2020,Self-paced,Offline,75,1,6554517587,Strong communication skills,717
373,91,853,395,TRUE,01-05-2020,03-05-2020,Self-paced,Hybrid,89,93,9486385250,Understanding of data structures and algorithms,139
374,56,665,250,FALSE,4/19/2020,6/18/2020,Self-paced,Hybrid,54,108,6550969969,Basic understanding of machine learning concepts,647
375,509,469,853,FALSE,1/17/2020,3/17/2020,Full-time,Offline,69,100,6359943095,Experience in project coordination,819
376,220,595,135,TRUE,04-05-2020,06-04-2020,Part-time,Hybrid,86,68,8737794297,Willingness to learn new technologies,271
377,914,449,294,TRUE,03-04-2020,05-03-2020,Part-time,Online,45,87,6447467056,Comfortable with remote collaboration tools,434
378,673,854,685,TRUE,05-06-2020,07-05-2020,Self-paced,Hybrid,63,207,8783968497,Passion for tech and innovation,681
379,521,496,83,TRUE,2/21/2020,4/21/2020,Part-time,Hybrid,27,116,7287761465,Passion for tech and innovation,167
380,718,355,295,FALSE,3/19/2020,5/18/2020,Full-time,Online,19,48,8414036343,Passion for tech and innovation,749
381,138,154,362,FALSE,4/22/2020,6/21/2020,Self-paced,Offline,81,222,8580707432,Interest in cybersecurity,303
382,400,676,214,FALSE,04-09-2020,06-08-2020,Full-time,Hybrid,12,125,8028011040,Familiarity with cloud tools,952
383,639,425,231,TRUE,05-09-2020,07-08-2020,Full-time,Hybrid,31,42,9650603870,Knowledge of HTML,589
384,476,701,847,FALSE,2/29/2020,4/29/2020,Full-time,Online,4,133,9294758512,Bachelor's degree in a relevant field,555
385,332,348,607,FALSE,4/23/2020,6/22/2020,Full-time,Online,1,77,6927365153,Passion for tech and innovation,105
386,930,376,605,FALSE,06-04-2020,08-03-2020,Self-paced,Offline,87,231,8649531917,Completion of Intro to Python course,270
387,448,279,888,FALSE,4/29/2020,6/28/2020,Self-paced,Hybrid,7,2,8712700928,Interest in cybersecurity,577
388,425,924,294,TRUE,6/29/2020,8/28/2020,Part-time,Hybrid,3,156,6361008544,Awareness of marketing strategies,637
389,653,639,206,FALSE,01-05-2020,03-05-2020,Part-time,Offline,25,2,6033239212,No prerequisites required,21
390,31,385,957,FALSE,03-09-2020,05-08-2020,Self-paced,Online,100,114,9657530777,Experience in project coordination,260
391,815,517,109,FALSE,04-12-2020,06-11-2020,Part-time,Online,27,4,9217478955,Experience in project coordination,381
392,9,897,300,FALSE,2/29/2020,4/29/2020,Part-time,Hybrid,47,154,6787509457,No prerequisites required,501
393,417,204,363,TRUE,3/21/2020,5/20/2020,Self-paced,Hybrid,16,215,6808103972,Familiarity with cloud tools,97
394,948,178,66,FALSE,5/31/2020,7/30/2020,Full-time,Hybrid,95,210,8105761519,No prerequisites required,977
395,790,701,821,TRUE,5/23/2020,7/22/2020,Self-paced,Hybrid,83,89,7828612869,Familiarity with Agile or Scrum methodologies,542
396,603,799,529,TRUE,05-08-2020,07-07-2020,Part-time,Offline,33,107,9998807211,Prior experience with Excel or spreadsheets,302
397,615,876,435,FALSE,1/20/2020,3/20/2020,Full-time,Online,17,192,8858983824,Passion for tech and innovation,707
398,492,596,960,TRUE,4/20/2020,6/19/2020,Self-paced,Offline,21,129,7968381843,Willingness to learn new technologies,487
399,952,844,900,FALSE,2/13/2020,4/13/2020,Full-time,Online,65,23,6857682136,Basic programming knowledge,147
400,780,880,37,TRUE,02-06-2020,04-06-2020,Part-time,Hybrid,87,238,9743399657,Portfolio of design projects (for UI/UX),521
401,5,412,272,TRUE,3/14/2020,5/13/2020,Self-paced,Hybrid,25,210,9789743181,Willingness to learn new technologies,559
402,443,970,60,FALSE,03-04-2020,05-03-2020,Full-time,Hybrid,94,86,7012103431,Strong communication skills,574
403,703,643,593,FALSE,3/19/2020,5/18/2020,Self-paced,Online,76,184,6380262447,Completion of Intro to Python course,980
404,692,234,475,TRUE,06-01-2020,7/31/2020,Full-time,Online,95,129,9465561811,CSS,812
405,131,954,592,FALSE,6/14/2020,8/13/2020,Part-time,Offline,14,210,8080177764,Previous coursework in networking fundamentals,453
406,270,287,174,TRUE,5/25/2020,7/24/2020,Full-time,Online,67,229,8874531975,CSS,789
407,195,232,393,FALSE,5/27/2020,7/26/2020,Full-time,Online,68,191,8079041363,Comfortable with remote collaboration tools,184
408,89,731,46,FALSE,2/13/2020,4/13/2020,Self-paced,Offline,32,112,7519181896,Basic understanding of machine learning concepts,858
409,959,843,604,FALSE,01-12-2020,03-12-2020,Part-time,Online,71,171,9086762844,Interest in cybersecurity,971
410,812,951,537,TRUE,5/30/2020,7/29/2020,Full-time,Offline,32,250,8439048025,and JavaScript,98
411,760,181,210,TRUE,1/28/2020,3/28/2020,Self-paced,Offline,98,193,9935545580,Interest in cybersecurity,952
412,231,203,439,TRUE,02-01-2020,04-01-2020,Part-time,Hybrid,18,162,9871851512,Awareness of marketing strategies,938
413,564,478,405,TRUE,5/16/2020,7/15/2020,Self-paced,Online,22,3,7579537818,Awareness of marketing strategies,16
414,33,775,253,TRUE,2/26/2020,4/26/2020,Self-paced,Hybrid,83,249,7374360018,No prerequisites required,136
415,994,846,972,TRUE,2/18/2020,4/18/2020,Part-time,Hybrid,31,39,6141129249,Prior experience with Excel or spreadsheets,440
416,319,146,489,TRUE,05-05-2020,07-04-2020,Self-paced,Hybrid,65,16,6668873561,Strong communication skills,732
417,248,997,98,FALSE,05-10-2020,07-09-2020,Part-time,Hybrid,96,67,8568194065,Experience in project coordination,294
418,100,69,274,FALSE,02-02-2020,04-02-2020,Full-time,Online,63,15,8348134397,Previous coursework in networking fundamentals,376
419,871,761,55,TRUE,03-12-2020,05-11-2020,Part-time,Online,66,45,9189452478,Familiarity with Agile or Scrum methodologies,18
420,861,497,422,TRUE,6/19/2020,8/18/2020,Full-time,Online,85,107,7249506459,Prior experience with Excel or spreadsheets,938
421,235,565,159,TRUE,04-04-2020,06-03-2020,Full-time,Offline,96,105,8152071029,Familiarity with Agile or Scrum methodologies,723
422,342,566,425,TRUE,1/17/2020,3/17/2020,Full-time,Hybrid,97,85,6968244983,Interest in cybersecurity,570
423,279,640,997,FALSE,5/27/2020,7/26/2020,Part-time,Online,39,138,6775276633,Comfortable with remote collaboration tools,26
424,512,149,848,TRUE,1/14/2020,3/14/2020,Part-time,Offline,41,205,8406379760,Willingness to learn new technologies,469
425,617,231,562,FALSE,4/24/2020,6/23/2020,Self-paced,Online,8,99,6617501521,Completion of Intro to Python course,487
426,792,424,394,TRUE,02-05-2020,04-05-2020,Self-paced,Hybrid,82,46,9386506366,Interest in cybersecurity,950
427,977,889,706,TRUE,5/21/2020,7/20/2020,Self-paced,Offline,17,55,8801770576,Basic understanding of machine learning concepts,137
428,252,11,754,FALSE,03-12-2020,05-11-2020,Full-time,Hybrid,66,245,9739218555,and JavaScript,838
429,386,487,819,TRUE,1/13/2020,3/13/2020,Full-time,Hybrid,58,49,9776861418,Interest in cybersecurity,612
430,124,727,982,TRUE,1/14/2020,3/14/2020,Part-time,Offline,5,229,9627546444,Understanding of data structures and algorithms,160
431,247,356,317,FALSE,02-01-2020,04-01-2020,Part-time,Offline,3,158,7644459510,Previous coursework in networking fundamentals,148
432,359,732,341,TRUE,01-03-2020,03-03-2020,Self-paced,Online,51,247,9041694584,Prior experience with Excel or spreadsheets,306
433,708,404,658,FALSE,06-03-2020,08-02-2020,Self-paced,Hybrid,55,99,8563795711,Comfortable with remote collaboration tools,375
434,652,539,279,FALSE,5/16/2020,7/15/2020,Part-time,Hybrid,69,81,8071641906,Familiarity with cloud tools,388
435,381,256,874,FALSE,6/17/2020,8/16/2020,Self-paced,Hybrid,82,161,6399491747,CSS,319
436,578,334,224,FALSE,05-08-2020,07-07-2020,Part-time,Hybrid,16,93,6927614764,Interest in cybersecurity,527
437,902,205,943,TRUE,06-08-2020,08-07-2020,Self-paced,Offline,10,23,6818265133,Exposure to databases and SQL,225
438,230,209,619,FALSE,06-09-2020,08-08-2020,Full-time,Hybrid,11,175,6225993870,Strong communication skills,250
439,136,294,915,FALSE,06-07-2020,08-06-2020,Part-time,Offline,99,76,9196334546,Completion of Intro to Python course,513
440,362,177,907,FALSE,2/24/2020,4/24/2020,Full-time,Hybrid,52,242,9909207557,Comfortable with remote collaboration tools,397
441,643,956,917,FALSE,3/17/2020,5/16/2020,Full-time,Offline,3,73,9111165395,Portfolio of design projects (for UI/UX),250
442,359,609,135,TRUE,2/28/2020,4/28/2020,Self-paced,Online,20,114,7748286380,Understanding of data structures and algorithms,219
443,729,956,286,TRUE,1/18/2020,3/18/2020,Self-paced,Hybrid,7,197,9958690923,Familiarity with cloud tools,343
444,291,41,967,TRUE,5/24/2020,7/23/2020,Part-time,Online,62,164,8275470009,Experience in project coordination,897
445,70,637,512,FALSE,4/24/2020,6/23/2020,Part-time,Offline,75,47,8492606159,Familiarity with cloud tools,374
446,254,128,242,TRUE,3/28/2020,5/27/2020,Self-paced,Offline,62,32,6030532698,Familiarity with Agile or Scrum methodologies,591
447,549,548,366,TRUE,03-10-2020,05-09-2020,Part-time,Hybrid,75,40,9981518136,Exposure to databases and SQL,562
448,722,860,226,TRUE,6/16/2020,8/15/2020,Self-paced,Online,71,235,7599953568,Prior experience with Excel or spreadsheets,249
449,669,596,881,TRUE,2/19/2020,4/19/2020,Self-paced,Hybrid,49,30,8578047464,Completion of Intro to Python course,237
450,804,124,2,FALSE,01-10-2020,03-10-2020,Full-time,Hybrid,97,195,7612795718,Basic understanding of machine learning concepts,431
451,898,316,870,TRUE,03-07-2020,05-06-2020,Self-paced,Offline,36,105,8356043046,Passion for tech and innovation,591
452,340,858,489,FALSE,2/17/2020,4/17/2020,Part-time,Offline,16,69,8482704441,Familiarity with cloud tools,771
