GTS_TRAINING_ID,GTS_TRAINING_NAME,GTS_TRAINING_DESCRIPTION,GTS_TRAINING_STATUS,GTS_TRAINING_FEES,GTS_TRAINING_DURATION,GTS_TRAINING_FEES_CURRENCY
257,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,7890.09,4 months,BRL
258,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,16715.39,9 months,NZD
259,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,16107.09,6 months,ZAR
260,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,11590.52,9 months,VND
261,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,12050.07,4 months,CZK
262,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,6808.08,4 months,COP
263,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,12099.93,4 months,RON
264,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,15471.93,3 months,DKK
265,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,14977.3,2 months,VND
266,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,19873.62,12 months,DKK
267,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,9912.72,3 months,EGP
268,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,5623.69,2 months,USD
269,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,1287.09,4 months,HUF
270,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,2798.73,9 months,PLN
271,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,3441.32,9 months,INR
272,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,18580.47,12 months,RON
273,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,17585.69,12 months,BGN
274,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,9154.54,3 months,RON
275,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,15101.47,6 months,AUD
276,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,8550.37,2 months,RUB
277,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,8255.01,3 months,PEN
278,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,2232.13,4 months,NGN
279,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,10741.37,6 months,CZK
280,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,12615.7,4 months,IDR
281,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,8294.19,2 months,DKK
282,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,4772.6,4 months,UAH
283,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,15443.69,6 months,BDT
284,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,15806.31,9 months,INR
285,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,19790.85,6 months,EGP
286,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,19429.87,12 months,KRW
287,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,19172.43,4 months,LKR
288,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,726.31,2 months,OMR
289,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,14144.28,2 months,HKD
290,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,2484.08,2 months,SEK
291,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,4092.17,4 months,PEN
292,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,2787.47,12 months,BGN
293,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,19831.09,2 months,SAR
294,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,8660.57,3 months,CNY
295,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,6332.84,12 months,CNY
296,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,16984.79,2 months,BGN
297,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,12648.61,9 months,NZD
298,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,11659.71,6 months,MXN
299,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,13827.67,12 months,HKD
300,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,18340.99,12 months,SEK
301,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,12297.41,6 months,ILS
302,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,18971.38,2 months,COP
303,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,16164.72,6 months,ILS
304,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,5232.8,12 months,EGP
305,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,4966.22,6 months,CZK
306,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,17091.54,4 months,RUB
307,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,19146.93,2 months,HKD
308,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,3083.85,12 months,PEN
309,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,4349.6,12 months,USD
310,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,9444.94,2 months,INR
311,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,6701.23,2 months,MAD
312,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,4378,12 months,MYR
313,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,15219.28,4 months,AED
314,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,1762.02,3 months,SGD
315,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,6912.19,6 months,NZD
316,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,9909.74,12 months,AED
317,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,9421.57,6 months,HKD
318,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,17039.55,2 months,ZAR
319,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,10809.25,2 months,MAD
320,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,2115.51,6 months,MYR
321,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,12563.33,3 months,CNY
322,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,10144.41,3 months,CZK
323,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,5647.6,9 months,EGP
324,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,677.14,4 months,RUB
325,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,15638.24,9 months,CHF
326,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,3520.22,4 months,PKR
327,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,1156.72,4 months,KES
328,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,17047.65,9 months,LKR
329,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,15096.87,12 months,EGP
330,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,8414.58,12 months,RUB
331,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,4040.37,9 months,QAR
332,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,4049.74,4 months,OMR
333,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,13247.34,12 months,USD
334,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,6716.11,2 months,AUD
335,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,8475.92,3 months,CZK
336,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,13783.59,12 months,OMR
337,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,18566.38,12 months,HKD
338,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,13388.16,2 months,RON
339,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,13253.41,3 months,BDT
340,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,11894.33,4 months,BHD
341,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,19570.62,3 months,CZK
342,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,12083.14,3 months,EGP
343,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,5213.01,6 months,HKD
344,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,11375.9,12 months,USD
345,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,5754.61,4 months,TWD
346,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,9004.87,2 months,SGD
347,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,15252.76,9 months,EGP
348,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,13820.77,4 months,NOK
349,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,19034.01,4 months,QAR
350,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,16976.79,4 months,TWD
351,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,9543.96,12 months,ARS
352,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,15714.94,9 months,NGN
353,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,15406.42,6 months,SEK
354,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,19781.31,12 months,BHD
355,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,7960.54,2 months,ZAR
356,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,11820.39,6 months,EUR
357,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,12202.86,9 months,CLP
358,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,9487.84,6 months,LKR
359,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,15823.72,9 months,INR
360,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,4333.94,2 months,TWD
361,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,14614,9 months,INR
362,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,12528.6,4 months,SEK
363,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,4592.79,6 months,CHF
364,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,8393.06,6 months,GBP
365,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,15685.19,6 months,CHF
366,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,4469.73,4 months,RON
367,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,17919.34,6 months,TWD
368,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,18818.24,2 months,NGN
369,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,9897.78,2 months,BDT
370,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,16381.88,4 months,KWD
371,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,10976.84,4 months,PEN
372,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,10670.77,2 months,HKD
373,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,6860.82,4 months,AUD
374,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,5780.98,9 months,CZK
375,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,7937.84,3 months,IDR
376,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,19896.73,6 months,AED
377,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,3691.69,3 months,SGD
378,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,10741.5,12 months,GBP
379,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,18864.79,4 months,BGN
380,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,15042.65,2 months,VND
381,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,11274.82,9 months,KWD
382,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,542.91,4 months,IDR
383,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,6006.02,2 months,UAH
384,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,7083.25,4 months,RUB
385,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,3477.59,6 months,HKD
386,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,7330.43,2 months,CNY
387,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,6644.42,12 months,ARS
388,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,14437.22,3 months,TWD
389,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,8075.14,2 months,SGD
390,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,2652.69,12 months,RON
391,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,15373.32,6 months,MAD
392,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,19285.07,12 months,BGN
393,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,14346.12,6 months,KES
394,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,12313.24,3 months,JPY
395,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,4208.6,3 months,COP
396,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,9677.51,12 months,PKR
397,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,9820.74,4 months,MXN
398,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,1352.59,4 months,VND
399,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,17692.93,2 months,KES
400,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,9802.71,12 months,BRL
401,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,17193.33,2 months,EUR
402,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,8765.15,9 months,ZAR
403,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,6597.75,9 months,RON
404,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,13480.35,4 months,KES
405,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,9064.03,4 months,TWD
406,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,18725.12,6 months,CHF
407,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,10580.89,4 months,KWD
408,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,9584.61,6 months,CZK
409,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,1860.5,12 months,NGN
410,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,1361.64,4 months,QAR
411,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,1049.8,9 months,AED
412,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,4507.81,6 months,UAH
413,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,8914.06,3 months,KWD
414,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,15836.31,12 months,RON
415,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,10437.63,9 months,MAD
416,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,10440.76,9 months,USD
417,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,920.37,3 months,KES
418,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,19699.85,9 months,IDR
419,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,15376.37,9 months,PKR
420,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,1340.84,2 months,JPY
421,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,12029.15,6 months,GBP
422,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,11909.64,4 months,HKD
423,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,15802.77,4 months,COP
424,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,19507.34,12 months,HUF
425,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,7421.43,6 months,MYR
426,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,8142.99,3 months,RON
427,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,17189.32,2 months,CHF
428,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,7521.8,6 months,TWD
429,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,6340.59,4 months,HKD
430,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,14923.89,3 months,THB
431,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,7656.86,9 months,AUD
432,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,7390.8,3 months,BDT
433,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,10135.23,6 months,NZD
434,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,5255.66,9 months,OMR
435,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,13075.82,2 months,UAH
436,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,9277.68,6 months,EUR
437,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,7556.57,6 months,QAR
438,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,3802.91,4 months,ZAR
439,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,19360.04,9 months,QAR
440,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,10985.69,3 months,KRW
441,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,740.08,3 months,JPY
442,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,13826.13,2 months,VND
443,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,19750.65,12 months,HUF
444,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,16834.77,12 months,BHD
445,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,14049.2,6 months,HUF
446,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,2174.92,9 months,OMR
447,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,3617.19,4 months,LKR
448,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,17488.98,4 months,COP
449,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,4097.53,12 months,NOK
450,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,5543.63,4 months,INR
451,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,7675.12,12 months,KRW
452,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,845.53,3 months,BDT
453,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,10861.7,12 months,CLP
454,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,17814.77,2 months,PKR
455,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,18283.94,12 months,KWD
456,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,14308.12,2 months,HUF
457,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,1467.61,12 months,ZAR
458,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,9527.14,3 months,PLN
459,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,2033.73,3 months,BHD
460,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,8416.15,4 months,ILS
461,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,2842.06,9 months,COP
462,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,18641.58,9 months,JPY
463,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,3331.48,3 months,JPY
464,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,6032.43,12 months,RUB
465,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,19886.44,6 months,CAD
466,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,18936.42,6 months,EGP
467,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,6613.05,12 months,JPY
468,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,9945.53,3 months,PLN
469,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,15543.43,2 months,THB
470,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,2989.08,6 months,MAD
471,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,2628.46,3 months,SAR
472,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,7743.43,12 months,MXN
473,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,9376.31,2 months,AED
474,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,17614.13,3 months,EUR
475,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,1344.51,4 months,PEN
476,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,2044.42,9 months,PEN
477,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,1431.99,2 months,EGP
478,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,6013.68,6 months,RUB
479,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,12365.93,12 months,ARS
480,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,17449.47,3 months,NGN
481,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,3991.69,12 months,KWD
482,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,16114,9 months,THB
483,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,11422.88,4 months,SEK
484,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,12914.96,3 months,SEK
485,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,3390.31,2 months,SAR
486,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,8746.28,4 months,CLP
487,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,1044.12,6 months,UAH
488,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,12934.97,2 months,THB
489,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,15168.32,6 months,SAR
490,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,5879.15,4 months,SEK
491,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,8600.94,6 months,EUR
492,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,17466.93,2 months,BGN
493,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,1656.83,3 months,HUF
494,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,9071.17,6 months,KES
495,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,17348.47,12 months,NOK
496,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,2580.22,6 months,AED
497,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,2982.16,2 months,HUF
498,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,13232.04,3 months,KES
499,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,3025.2,9 months,CZK
500,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,16227.42,2 months,IDR
501,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,8585.77,2 months,CAD
502,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,6882.83,12 months,BGN
503,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,18988.03,3 months,HKD
504,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,7902.72,2 months,CAD
505,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,4171.42,9 months,CLP
506,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,4549.45,12 months,BRL
507,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,5195.3,12 months,BRL
508,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,8890.24,12 months,ARS
509,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,14565.9,2 months,AED
510,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,2998.03,9 months,ILS
511,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,11663.31,12 months,AED
512,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,16517.73,2 months,KWD
513,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,3354.92,12 months,PLN
514,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,19914.07,12 months,VND
515,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,10916.89,6 months,SGD
516,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,3126.71,3 months,EGP
517,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,11781.11,6 months,PEN
